,name,avg_pts,cv
4,R.Gronkowski,9.311764705882354,1.269817053168045
18,T.Kelce,8.852941176470589,1.3383558079446127
13,Z.Ertz,7.552941176470589,1.4041384829195085
5,J.Graham,6.705882352941177,1.2906187846437207
39,E.Engram,6.447058823529412,1.2168692208115155
7,K.Rudolph,5.952941176470587,1.2827176415806185
0,D.Walker,5.911764705882353,1.5619191447648868
15,J.Doyle,5.235294117647059,1.1440080108629036
30,T.Kroft,4.847058823529411,0.8567034660010507
21,E.Ebron,4.670588235294117,1.1432451324997392
2,J.Cook,4.629411764705883,1.0638807673055064
32,A.Hooper,4.152941176470588,0.8590740552493126
9,C.Clay,3.9882352941176475,1.0468998218748673
38,G.Kittle,3.735294117647059,0.9495609097303945
40,D.Njoku,3.688235294117646,0.9133732965239224
29,J.James,3.2470588235294113,0.7688618874557253
20,T.Burton,3.2235294117647055,0.641072930002522
6,J.Gresham,2.6,0.8262360637423151
36,S.DeValve,2.558823529411765,1.2271011445587072
28,N.O'Leary,2.4823529411764707,0.9470981855928208
35,S.Anderson,2.3647058823529408,0.7080450134722321
41,G.Everett,2.1,0.7021141141958137
3,Z.Miller,2.0941176470588236,0.6823655711294432
37,T.Higbee,2.0882352941176476,0.7635415070748709
12,R.Ellison,2.088235294117647,0.7611509076898947
24,A.Derby,2.0235294117647062,0.5683551878921912
17,J.Reed,1.9470588235294115,0.4429561474178257
14,D.Harris,1.6705882352941175,0.6948897399311218
8,L.Kendricks,1.547058823529412,0.5806432788505542
31,J.Heuerman,1.5411764705882351,0.4890613804851138
10,V.Green,1.4764705882352946,0.7710785962169809
1,G.Olsen,1.4764705882352942,0.35982492143982375
16,D.Sims,1.4117647058823528,0.5743895555739785
23,N.Boyle,1.3117647058823527,1.1859688996856568
26,J.O'Shaughnessy,1.2294117647058822,0.5309221899213274
33,N.Vannett,1.0823529411764705,0.4889434072525882
25,E.Tomlinson,1.0647058823529412,0.5222409383949115
34,D.Morgan,0.9117647058823528,0.5307036704058861
22,M.Williams,0.776470588235294,0.4474601979976066
11,D.Carrier,0.41764705882352937,0.7312984130841654
19,T.Eifert,0.2705882352941177,0.2741984027497145
27,W.Tye,0.22352941176470587,0.2795326960098373
